225	219	222	231	210	228	216	234									
0.6732	0.238	0.0592	0.0049	0.0043	0.0111	0.008	0.0012									
180	183	177	186	189												
0.6125	0.3696	0.0043	0.0117	0.0018												
348	357	354	360	345	366	342	363	369	351							
0.112	0.2697	0.0469	0.4437	0.0551	0.0125	0.0081	0.0369	0.0075	0.0075							
282	288	276	285	300	297	291	294	279	303	312	273	318				
0.0281	0.3831	0.2	0.1863	0.0188	0.1344	0.0113	0.0031	0.0244	0.0069	0.0019	0.0006	0.0013				
372	375	366	369													
0.9317	0.0603	0.0049	0.0031													
288	291	285	294	300	297											
0.1475	0.3846	0.4508	0.0088	0.0076	0.0006											
249	252	234	246	240	243	228	255	258	237	231	261	225				
0.1158	0.2618	0.0255	0.034	0.2376	0.1427	0.0157	0.074	0.0177	0.0661	0.0046	0.0013	0.0033				
190	194	200	202	206	198	186	196	192	204	184	208	188	210			
0.1281	0.478	0.1062	0.0226	0.0484	0.0358	0.0226	0.0101	0.1018	0.0182	0.0006	0.0113	0.0013	0.0151			
302	300	292	294	290	304	306	298	308								
0.8622	0.0308	0.0369	0.024	0.0031	0.0277	0.0123	0.0012	0.0018								
345	351	354	348	342	357	339	327	360	363	369	336	378	333	372	330	366
0.388	0.0496	0.0986	0.2462	0.0611	0.0668	0.0013	0.0019	0.0146	0.0102	0.0006	0.0108	0.0013	0.0267	0.0172	0.0045	0.0006
249	270	267	255	261	246											
0.8961	0.0633	0.0215	0.0141	0.0043	0.0006											
