ClusterIndex Probability          OffspringID             FatherID             MotherID
           1      0.9304     10A_B1_F1_1_2016                   #1             10A_2016
           1      0.9304     10A_B1_F1_2_2016                   #2             10A_2016
           1      0.9304     10A_B1_F1_3_2016                   #3             10A_2016
           1      0.9304     10A_B1_F2_4_2016                   #3             10A_2016
           1      0.9304     10A_B2_F3_5_2016                   #4             10A_2016
           1      0.9304     10A_B2_F3_6_2016                   #5             10A_2016
           1      0.9304     10A_B2_F3_7_2016                   #1             10A_2016
           1      0.9304     10A_B2_F4_8_2016                   #6             10A_2016
           1      0.9304     10A_B2_F4_9_2016                   #1             10A_2016
           1      0.9304     10B_B1_F1_1_2016                   #7             10B_2016
           1      0.9304     10B_B1_F2_2_2016                   #8             10B_2016
           1      0.9304     10B_B1_F3_3_2016                   #9             10B_2016
           1      0.9304     10B_B1_F3_4_2016                   #9             10B_2016
           1      0.9304     10B_B1_F4_5_2016                   #7             10B_2016
           1      0.9304     10B_B1_F4_6_2016                  #10             10B_2016
           1      0.9304     10B_B1_F4_7_2016                  #11             10B_2016
           1      0.9304     10B_B1_F5_8_2016                   #5             10B_2016
           1      0.9304     10B_B4_F6_9_2016                   #5             10B_2016
           1      0.9304    10B_B4_F6_10_2016                  #11             10B_2016
           1      0.9304    10B_B4_F7_11_2016                   #7             10B_2016
           1      0.9304     16B_B4_F1_1_2016                  #59             16B_2016
           1      0.9304     16B_B4_F1_2_2016                  #60             16B_2016
           1      0.9304     16B_B4_F2_3_2016                  #10             16B_2016
           1      0.9304     16B_B4_F2_4_2016                  #59             16B_2016
           1      0.9304     16B_B4_F3_5_2016             16B_2016             16B_2016
           1      0.9304     16B_B4_F3_6_2016                   #9             16B_2016
           1      0.9304     16B_B4_F4_7_2016                  #11             16B_2016
           1      0.9304     16B_B7_F5_8_2016                  #61             16B_2016
           1      0.9304     16B_B7_F5_9_2016             16B_2016             16B_2016
           1      0.9304    16B_B7_F5_10_2016                  #62             16B_2016
           1      0.9304    16B_B7_F6_11_2016                   #7             16B_2016
           1      0.9304    16B_B7_F7_12_2016                   #7             16B_2016
           1      0.9304    16B_B7_F8_13_2016                   #6             16B_2016
           1      0.9304     16C_B4_F1_1_2016             16B_2016             16C_2016
           1      0.9304     16C_B4_F1_2_2016                  #59             16C_2016
           1      0.9304     16C_B4_F2_3_2016                   #6             16C_2016
           1      0.9304     16C_B4_F2_4_2016                  #60             16C_2016
           1      0.9304     16C_B4_F3_5_2016                   #7             16C_2016
           1      0.9304     16C_B4_F3_6_2016                  #59             16C_2016
           1      0.9304     16C_B6_F4_7_2016                  #10             16C_2016
           1      0.9304     16C_B6_F4_8_2016                  #63             16C_2016
           1      0.9304     16C_B6_F5_9_2016                  #62             16C_2016
           1      0.9304    16C_B6_F5_10_2016                  #63             16C_2016
           1      0.9304    16C_B6_F6_11_2016                  #64             16C_2016
           1      0.9304    16C_B6_F6_12_2016                  #64             16C_2016
           1      0.9304    16C_B4_F4_13_2016                  #61             16C_2016
           1      0.9304    16C_B4_F5_14_2016                   #1             16C_2016
           1      0.9304     27A_B3_F1_1_2016                   #7             27A_2016
           1      0.9304     27A_B3_F1_2_2016                  #63             27A_2016
           1      0.9304     27A_B3_F1_3_2016                  #11             27A_2016
           1      0.9304     27A_B3_F2_4_2016                   #4             27A_2016
           1      0.9304     27A_B3_F2_5_2016                  #60             27A_2016
           1      0.9304     27A_B3_F3_6_2016                   #4             27A_2016
           1      0.9304     27A_B3_F3_7_2016                  #61             27A_2016
           1      0.9304     27A_B4_F4_8_2016                  #11             27A_2016
