OffspringID1,OffspringID2,Probability
10A_B1_F1_1_2016,10A_B1_F1_2_2016, 1.000
10A_B1_F1_1_2016,10A_B1_F1_3_2016, 1.000
10A_B1_F1_1_2016,10A_B1_F2_4_2016, 1.000
10A_B1_F1_1_2016,10A_B2_F3_5_2016, 1.000
10A_B1_F1_1_2016,10A_B2_F3_6_2016, 1.000
10A_B1_F1_1_2016,10A_B2_F4_8_2016, 1.000
10A_B1_F1_2_2016,10A_B1_F1_3_2016, 1.000
10A_B1_F1_2_2016,10A_B1_F2_4_2016, 1.000
10A_B1_F1_2_2016,10A_B2_F3_5_2016, 1.000
10A_B1_F1_2_2016,10A_B2_F3_6_2016, 1.000
10A_B1_F1_2_2016,10A_B2_F3_7_2016, 1.000
10A_B1_F1_2_2016,10A_B2_F4_8_2016, 1.000
10A_B1_F1_2_2016,10A_B2_F4_9_2016, 1.000
10A_B1_F1_3_2016,10A_B2_F3_5_2016, 1.000
10A_B1_F1_3_2016,10A_B2_F3_6_2016, 1.000
10A_B1_F1_3_2016,10A_B2_F3_7_2016, 1.000
10A_B1_F1_3_2016,10A_B2_F4_8_2016, 1.000
10A_B1_F1_3_2016,10A_B2_F4_9_2016, 1.000
10A_B1_F2_4_2016,10A_B2_F3_5_2016, 1.000
10A_B1_F2_4_2016,10A_B2_F3_6_2016, 1.000
10A_B1_F2_4_2016,10A_B2_F3_7_2016, 1.000
10A_B1_F2_4_2016,10A_B2_F4_8_2016, 1.000
10A_B1_F2_4_2016,10A_B2_F4_9_2016, 1.000
10A_B2_F3_5_2016,10A_B2_F3_6_2016, 1.000
10A_B2_F3_5_2016,10A_B2_F3_7_2016, 1.000
10A_B2_F3_5_2016,10A_B2_F4_8_2016, 1.000
10A_B2_F3_5_2016,10A_B2_F4_9_2016, 1.000
10A_B2_F3_6_2016,10A_B2_F3_7_2016, 1.000
10A_B2_F3_6_2016,10A_B2_F4_8_2016, 1.000
10A_B2_F3_6_2016,10A_B2_F4_9_2016, 1.000
10A_B2_F3_7_2016,10A_B2_F4_8_2016, 1.000
