OffspringID,Probability
10A_B1_F1_1_2016, 0.000
10A_B1_F1_2_2016, 0.000
10A_B1_F1_3_2016, 0.000
10A_B1_F2_4_2016, 0.000
10A_B2_F3_5_2016, 0.000
10A_B2_F3_6_2016, 0.000
10A_B2_F3_7_2016, 0.000
10A_B2_F4_8_2016, 0.000
10A_B2_F4_9_2016, 0.000
10B_B1_F1_1_2016, 0.000
10B_B1_F2_2_2016, 0.000
10B_B1_F3_3_2016, 0.000
10B_B1_F3_4_2016, 0.000
10B_B1_F4_5_2016, 0.000
10B_B1_F4_6_2016, 0.000
10B_B1_F4_7_2016, 0.000
10B_B1_F5_8_2016, 0.000
10B_B4_F6_9_2016, 0.000
10B_B4_F6_10_2016, 0.000
10B_B4_F7_11_2016, 0.000
10C_B2_F1_1_2016, 0.000
10C_B2_F2_2_2016, 0.000
10C_B2_F2_3_2016, 0.000
10C_B2_F3_4_2016, 0.000
10C_B2_F4_5_2016, 0.000
10C_B2_F5_6_2016, 0.000
10C_B2_F5_7_2016, 0.000
10C_B2_F6_8_2016, 0.000
10C_B2_F6_9_2016, 0.000
10C_B2_F7_10_2016, 0.000
10C_B5_F8_11_2016, 0.000
10C_B5_F8_12_2016, 0.000
10C_B5_F9_13_2016, 0.000
10C_B5_F9_14_2016, 0.000
10C_B5_F10_15_2016, 0.000
10C_B5_F11_16_2016, 0.000
10C_B5_F12_17_2016, 0.000
10D_B2_F1_1_2016, 0.000
10D_B2_F1_2_2016, 0.000
10D_B2_F2_3_2016, 0.000
10D_B2_F2_4_2016, 0.000
10D_B2_F2_5_2016, 0.000
10D_B2_F3_6_2016, 0.000
10D_B2_F4_7_2016, 0.000
10D_B3_F5_8_2016, 0.000
10D_B3_F6_9_2016, 0.000
10D_B3_F6_10_2016, 0.000
10D_B2_F5_11_2016, 0.000
10D_B3_F7_12_2016, 0.000
10D_B3_F8_13_2016, 0.000
10D_B3_F9_14_2016, 0.000
10E_B6_F1_1_2016, 0.000
10E_B6_F1_2_2016, 0.000
10E_B6_F2_3_2016, 0.000
10E_B6_F2_4_2016, 0.000
10E_B6_F3_5_2016, 0.000
10E_B6_F3_6_2016, 0.000
10E_B9_F4_7_2016, 0.000
10E_B9_F4_8_2016, 0.000
10E_B9_F5_9_2016, 0.000
10E_B9_F6_10_2016, 0.000
10E_B6_F4_11_2016, 0.000
10E_B6_F5_12_2016, 0.000
10E_B9_F7_13_2016, 0.000
12A_B3_F1_1_2016, 0.000
12A_B3_F1_2_2016, 0.000
12A_B3_F1_3_2016, 0.000
12A_B3_F2_4_2016, 0.000
12A_B3_F2_5_2016, 0.000
12A_B3_F2_6_2016, 0.000
12A_B3_F3_7_2016, 0.000
12A_B3_F3_8_2016, 0.000
12A_B4_F4_9_2016, 0.000
12A_B4_F4_10_2016, 0.000
12A_B4_F5_11_2016, 0.000
12A_B4_F6_12_2016, 0.000
12C_B1_F1_1_2016, 0.000
12C_B1_F1_2_2016, 0.000
12C_B1_F1_3_2016, 0.000
12C_B1_F2_4_2016, 0.000
12C_B1_F2_5_2016, 0.000
12C_B1_F2_6_2016, 0.000
12C_B1_F3_7_2016, 0.000
12C_B1_F3_8_2016, 0.000
12C_B3_F4_9_2016, 0.000
12C_B3_F4_10_2016, 0.000
12C_B1_F4_11_2016, 0.000
12C_B3_F5_12_2016, 0.000
12D_B1_F1_1_2016, 0.000
12D_B1_F1_2_2016, 0.000
12D_B1_F2_3_2016, 0.000
12D_B1_F2_4_2016, 0.000
12D_B1_F3_5_2016, 0.000
12D_B1_F3_6_2016, 0.000
12D_B1_F3_7_2016, 0.000
12D_B1_F4_8_2016, 0.000
